Adding LIBD modules
Loading git
Loading LIBD module for git-status-size/github
Loading LIBD module for git-lfs/2.8.0
Loading LIBD module for rmate/1.5.9
Loading LIBD module for ruby/2.6.4p104
Loading conda_R/4.1.x
**** Job starts ****
Fri Jan 21 20:55:09 EST 2022
**** JHPCE info ****
User: lhuuki
Job id: 8903952
Job name: tensorqtl_genomewide_nominal_argv
Hostname: compute-096.cm.cluster
Task id: 7

Currently Loaded Modules:
  1) matlab/R2019a     6) COMMUNITY_CENTOS7_DEFAULT_ENV  11) ruby/2.6.4p104
  2) stata/17          7) JHPCE_CENTOS7_DEFAULT_ENV      12) rmate/1.5.9
  3) JHPCE_tools/1.0   8) git-status-size/github         13) conda/3-4.6.14
  4) sge/8.1.9         9) git/2.28.0                     14) conda_R/4.1.x
  5) gcc/4.4.7        10) git-lfs/2.8.0

 

Processing pair: sACC_chr22
Warning: 'rfunc' cannot be imported. R and the 'rpy2' Python package are needed.
PyTorch 1.9.0+cu102
Pandas 1.3.3
REGION = sACC
CHR = chr22
Reading Expression files: ../data/expression_bed/gene_sACC.bed.gz
Phenotype dimensions:
(25212, 551)
....................
Reading Plink files: /dcl01/lieber/ajaffe/lab/goesHyde_mdd_rnaseq/genotype_data/mdd_bpd/maf01/mdd_bpd_maf01
 Mapping files:   0%|          | 0/3 [00:00<?, ?it/s] Mapping files:  33%|███▎      | 1/3 [00:21<00:42, 21.18s/it] Mapping files:  67%|██████▋   | 2/3 [00:23<00:10, 10.10s/it] Mapping files: 100%|██████████| 3/3 [00:30<00:00,  8.70s/it] Mapping files: 100%|██████████| 3/3 [00:30<00:00, 10.19s/it]
Loading Genotypes...Genotype dimensions:(11031865, 616)
Adding 'chr' to genotype positions
Excluding phenotypes from these chromosomes:
{'chrM', 'chrY'}
Phenotypes with chr in variants: 
True     25132
False       80
Name: chr, dtype: int64
**** STARTING tensorQTL ****
Saving output to: /dcl01/lieber/ajaffe/lab/goesHyde_mdd_rnaseq/eqtl/data/tensorQTL_out/genomewide_independent/ind_gene_sACC_chr22.csv
cis-QTL mapping: conditionally independent variants
  * 551 samples
  * 567/570 significant phenotypes
  * 41 covariates
  * 11031865 variants
  * using seed 121
   * checking phenotypes: 567/567
  * computing independent QTLs
     processing phenotype 1/567     processing phenotype 2/567     processing phenotype 3/567     processing phenotype 4/567     processing phenotype 5/567     processing phenotype 6/567     processing phenotype 7/567     processing phenotype 8/567/users/lhuuki/.local/lib/python3.9/site-packages/tensorqtl/core.py:52: UserWarning: torch.qr is deprecated in favor of torch.linalg.qr and will be removed in a future PyTorch release.
The boolean parameter 'some' has been replaced with a string parameter 'mode'.
Q, R = torch.qr(A, some)
should be replaced with
Q, R = torch.linalg.qr(A, 'reduced' if some else 'complete') (Triggered internally at  /pytorch/aten/src/ATen/native/BatchLinearAlgebra.cpp:1940.)
  self.Q_t, _ = torch.qr(C_t - C_t.mean(0))
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 162/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 163/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 164/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 165/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 166/567    processing phenotype 167/567    processing phenotype 168/567    processing phenotype 169/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 170/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 171/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 172/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 173/567    processing phenotype 174/567    processing phenotype 175/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 176/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 177/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 178/567    processing phenotype 179/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 180/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 181/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 182/567    processing phenotype 183/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 184/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 185/567    processing phenotype 186/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 187/567    processing phenotype 188/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 189/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 190/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 191/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 192/567    processing phenotype 193/567    processing phenotype 194/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 195/567    processing phenotype 196/567    processing phenotype 197/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 198/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
    processing phenotype 199/567WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
WARNING: scipy.optimize.newton failed to converge (running scipy.optimize.minimize)
